Name,Website,Type,Parent Company,Country HQ,DT Only?,# DT deals in portfolio,Size of current DT fund(s),Date of current DT fund(s),Pre-seed,Seed,Series A,Series B+,Min ticket,Max ticket,Europe,Israel,USA,Canada,Asia,Worldwide,Other,Aerospace,AI/ML,Electronics,Industry 4.0 / Robotics,Energy,Materials,Healthtech,Biotech,Food & Ag,Cleantech,Mobility,Specific or additional focus,linkedin-private-codex,linkedin-private-claude
Advent Life Sciences,http://www.adventls.com/,VC,,UK,Yes,40+,$281M,"Dec , 2018",,,x,x,,,x,,x,,,,,,,,,,,x,x,,,,,,
AENU,https://www.aenu.com,VC,,Germany,No,,$170M,"Sept, 2024",x,x,x,x,,,x,x,x,x,x,x,Leans Europe and US,,,,x,x,,,,x,x,x,,,
Aera VC,https://www.aera.vc/,VC,,New Zealand,Yes,20+,$30M,"Feb , 2022",x,x,x,,,,x,x,x,x,x,x,,x,,,x,x,x,x,x,x,x,x,,,
Aescuvest,https://www.aescuvest.eu/,VC,EIT,Germany,Yes,--,--,--,,x,x,,,,x,,,,,,,,,,,,,x,,,,,,,
Agder Energi,https://www.ae.no/en/,CVC,Agder Energi,Norway,Yes,,,,,x,x,x,,,x,,,,,,,,,x,,x,,,,,,,,,
AgFunder,https://agfunder.com/,VC,,USA,No,25+,$102M,Aug 2024,,x,x,x,$500K,$3M,x,x,x,x,x,x,,,,,,,x,x,x,x,,,Food/Ag related,https://www.linkedin.com/in/robleclerc,https://www.linkedin.com/in/robleclerc
Aglae Ventures,http://aglaeventures.com/,CVC,Groupe Arnault,France,No,,--,--,,x,x,x,x,€100M,x,x,x,x,x,x,,,x,,,,,,,x,,x,Digital,,
Aglaia,https://aglaia-oncology.com/,VC,,Netherlands,Yes,5+,$65M,"Sep, 2014",,x,x,x,,,x,,x,,,,,,,,,,,x,x,,,,Oncology only,,
AgriTech Hubs,http://agritechhub.com/,VC,,Poland,No,,--,--,x,,,,,,x,,,,,,,,,,,,,,,x,x,,,,
Agronomics,https://agronomics.im/,VC,,UK,Yes,10+,--,--,,x,x,,,,x,,,,,,,,,,,,,,,x,,,,,
Ahoy Capital,https://www.ahoycap.com,VC,,USA,Yes,"Jan , 1900",$31.8M,"Oct , 2018",,x,x,x,,,,,x,,,,,,x,,x,,,,,,,,,,
Ahren Innovation Capital,http://www.ahreninnovationcapital.com/,VC,,UK,Yes,--,£200M,Sep. 2018,x,x,x,x,,,x,,x,,,,,,x,,x,,,x,x,,,,,"https://www.linkedin.com/in/alice-newcombe-ellis-b6b736158, https://www.linkedin.com/in/pebaines","https://www.linkedin.com/in/alice-newcombe-ellis-b6b736158, https://www.linkedin.com/in/pebaines"
AI Capital,https://www.ai.vc,VC,,USA,No,"Dec , 1899",$34M,"Apr , 2021",,,,,,,,,,,,,,,x,,x,,,x,,,,,,,
AI Seed Fund,https://aiseed.vc/,VC,,UK,Yes,30+,--,--,x,x,,,,£100K,x,,,,,,,,x,,,,,x,,,,,"Media, Fintech",,
AiiM Partners,https://www.aiimpartners.com,VC,,USA,Yes,10+,,,,x,x,x,,,x,,,,,,Singapore,,,,,x,x,,,x,x,,,,
Air Liquide ALIAD,https://www.airliquide.com/fr/groupe/aliad-venture-capital,CVC,Air Liquide,France,Yes,30+,--,--,,x,x,x,,,x,,x,,,,,,x,,,x,,x,x,,x,x,,,
Air Street Capital,https://www.airstreet.com/,VC,,UK,No,5+,--,--,x,x,,,$150K,$700K,x,,x,,,,,x,x,,x,x,x,x,x,x,,x,,"https://www.linkedin.com/in/alex-chalmers-41937912a, https://www.linkedin.com/in/corina-gurau-46ba97165, https://www.linkedin.com/in/nathanbenaich, https://www.linkedin.com/in/nitarshan, https://www.linkedin.com/in/othmanesebbouh, https://www.linkedin.com/in/paulapastor",https://www.linkedin.com/in/nathanbenaich
Airbus Ventures,https://airbusventures.vc/,VC,Airbus (+ other LPs),USA,Yes,35+,$150M,"Jul , 1905",,x,x,x,$250K,$10M,x,x,x,x,x,x,,x,x,x,x,x,x,,,,,x,,"https://www.linkedin.com/in/thomas-d-halluin-081a3619, https://www.linkedin.com/in/lewispinault, https://www.linkedin.com/in/nicole-conner-05004913","https://www.linkedin.com/in/thomas-d-halluin-081a3619, https://www.linkedin.com/in/lewispinault, https://www.linkedin.com/in/nicole-conner-05004913"
Airtree Ventures,https://www.airtree.vc/,VC,,Australia,No,,$275M,"Oct , 2019",,x,x,x,,,,,,,,,,,x,,x,x,,x,,,,,"SaaS, Consumer, Enterprise","https://www.linkedin.com/in/blaircraig, https://www.linkedin.com/in/daveparfett, https://www.linkedin.com/in/sidkasbekar","https://www.linkedin.com/in/blaircraig, https://www.linkedin.com/in/daveparfett, https://www.linkedin.com/in/sidkasbekar"
Alabaster,https://www.alabaster.com/,VC,,USA,Yes,20+,--,--,x,x,x,,--,$2M,x,x,x,x,x,x,,x,x,x,x,x,x,,x,x,x,x,,,
Alante Capital,https://www.alantecapital.com,VC,,USA,No,5+,,,,x,x,,,,x,,x,,,,,,,,,,x,,,,,,,,
Alaska Star Ventures,https://newsroom.alaskaair.com/2021-10-18-Alaska-Airlines-launches-investment-arm-to-accelerate-progress-to-net-zero,CVC,Alaska Airlines,USA,,,$230M,"Oct , 2021",,,,,,,,,x,,,,,x,,,,,,,,,,x,Decarbonization,,
AlbionVC,https://albion.vc,VC,,UK,No,20+,,,X,X,X,,£250K,£7M,,,,,,,UK,,X,X,X,X,,X,X,,X,X,,"https://www.linkedin.com/in/emilgigov, https://www.linkedin.com/in/adam-chirkowski-a4703b63, https://www.linkedin.com/in/edlascelles, https://www.linkedin.com/in/davewascha, https://www.linkedin.com/in/leigh-brody-2406597","https://www.linkedin.com/in/emilgigov, https://www.linkedin.com/in/adam-chirkowski-a4703b63, https://www.linkedin.com/in/edlascelles, https://www.linkedin.com/in/davewascha, https://www.linkedin.com/in/leigh-brody-2406597"
Aleph VC,http://aleph.vc/,VC,,Israel,No,,$200M,"Dec , 2019",,,x,x,,,x,x,x,x,x,x,,,x,,x,,,x,,,,x,,,
Alexandria Ventures,https://www.are.com/venture-investments.html,VC,,USA,Yes,--,--,--,,x,x,,,,x,x,x,x,x,x,,,,,,,,x,x,x,,,,,
Algebra Ventures,https://algebraventures.com/,VC,,Egypt,No,,$40M,"Dec , 2016",,x,x,,,,,,,,,,Egypt + MENA region,,x,,,,,,,x,,,"Consumer, Enterprise","https://www.linkedin.com/in/ACoAAAAvbFwBYwvGbLWyrDgVQdzXX8XKFedqrnU&quot, https://www.linkedin.com/in/ACoAAABVy7IB9uByy836p8Sjvyj8hctQqRsFm_4&quot, https://www.linkedin.com/in/ACoAAABll_EBhXh6O11cgBhVjOTLDxf94JZB_6g&quot, https://www.linkedin.com/in/ACoAAADjthwBPk4qKL5iP9XIcZsO_bf9P5LfHE4&quot, https://www.linkedin.com/in/ACoAAAFXf7cBmnJwDK-jN-HU8uFKjiIzhlEdMHk&quot, https://www.linkedin.com/in/ACoAAAJsCX4B-hLa00o-BL5hOJNBztopJK044K0&quot, https://www.linkedin.com/in/ACoAAAK0nFwBrDwcJnB3xSGLDQNhGtORmPp47q4&quot, https://www.linkedin.com/in/ACoAAAQZJl0BtIRkL46AYCACu1a7kARNpNiI6Fg&quot, https://www.linkedin.com/in/ACoAAAT-CeQBdZ6lUE34t5TFHaTYNGIXY2ZsLvE&quot, https://www.linkedin.com/in/ACoAAAZWBzsBwWIJOtPpVtw3CJTxhIbC9W5Ct-M&quot, https://www.linkedin.com/in/ACoAAAfEg2QBaj2wO21HVFFm5U84OgcZuf2mWAQ&quot, https://www.linkedin.com/in/ACoAAAoLKN4BOjKjLWPOfu_RS21nww_LFtcrVY8&quot, https://www.linkedin.com/in/ACoAACYpQI8BK2nuK7YO_MIolRAdUMN-Ct00-DY&quot, https://www.linkedin.com/in/defrawy, https://www.linkedin.com/in/emeka-onyia-8347a916, https://www.linkedin.com/in/femiiromini, https://www.linkedin.com/in/mahmoud-talaat-a170a4130, https://www.linkedin.com/in/naderfahim, https://www.linkedin.com/in/tbahgat","https://www.linkedin.com/in/ACoAAAAvbFwBYwvGbLWyrDgVQdzXX8XKFedqrnU&quot;, https://www.linkedin.com/in/ACoAAABVy7IB9uByy836p8Sjvyj8hctQqRsFm_4&quot;, https://www.linkedin.com/in/ACoAAABll_EBhXh6O11cgBhVjOTLDxf94JZB_6g&quot;, https://www.linkedin.com/in/ACoAAADjthwBPk4qKL5iP9XIcZsO_bf9P5LfHE4&quot;, https://www.linkedin.com/in/ACoAAAFXf7cBmnJwDK-jN-HU8uFKjiIzhlEdMHk&quot;"
Allectus Capital,https://www.allectuscapital.limited/,VC,,Australia,No,,,,,X,X,X,$500k,$8M,,,,,,X,,,,X,,,,X,X,,,,,,
AllegisCyber,https://allegiscyber.com,VC,,USA,Yes,20+,$468.7M,"May , 2019",,,x,x,,,x,,x,x,,,,,x,,x,,,,,,,,Cybersecurity,,
Alliance Ventures,https://www.alliance-2022.com/,CVC,Renault-Nissan-Mitsubishi,Netherlands,No,,$1B,"Jan , 2018",,x,x,x,,,x,x,x,x,x,x,,,x,x,x,,x,,,,,x,,,
Allianz Accelerator,https://www.allianz.fr/accelerateur/en/index.html,Accelerator,Allianz,France,No,,--,--,,x,,,,,x,,,,,,,,x,x,x,,,x,,,,x,"Sustainability, Data, Fintech, Insurtech, Crypto",,
Almanac,https://www.almanacinsights.com,VC,,USA,No,"Jan , 1900",$30M,"Jan , 2018",,x,x,x,,,,,x,,,,,,,,,,,,,x,,,,,
Almaz Capital,https://www.almazcapital.com/,VC,,USA,No,,$300M,"Aug , 2016",,x,x,x,,,x,,,,,,,,x,,,,,,,,,,IT,,
Almi Invest,https://www.almi.se/en/in-english/,VC,,Sweden,No,,SEK650M,"May , 2018",,x,x,,SEK2M,SEK4M,Sweden,,,,,,,,,,,x,,,,,x,,Greentech,,
Aloft VC (ex Anathem Ventures),https://www.anathemventures.com,VC,,USA,No,"Jan , 1900",,,,x,x,x,,,,,x,,,,,,x,,,,,x,,,,,,,
Alon MedTech Ventures,https://alon-medtech.com/,VC,,Israel,Yes,15+,,,,,x,x,,,,x,x,x,,,,,x,,,,,x,x,,,,,,
Alpaca VC,https://alpaca.vc/,VC,,USA,No,,$32.5M,"Aug , 2019",x,x,,,$100K,$1.25M,,,x,x,,,,,x,,,,,,,x,,,"Consumer, Proptech","https://www.linkedin.com/in/aubrie-pagano-14371bb, https://www.linkedin.com/in/daniel-fetner-39097535, https://www.linkedin.com/in/david-goldberg-056a973, https://www.linkedin.com/in/josh-jagota-38744194, https://www.linkedin.com/in/lorraine-sanders, https://www.linkedin.com/in/raymondupdyke, https://www.linkedin.com/in/ryanfreedman1","https://www.linkedin.com/in/aubrie-pagano-14371bb/, https://www.linkedin.com/in/daniel-fetner-39097535/, https://www.linkedin.com/in/david-goldberg-056a973/, https://www.linkedin.com/in/josh-jagota-38744194/, https://www.linkedin.com/in/lorraine-sanders/"
Alpha Bridge,https://www.alphabridge.vc,VC,,USA,No,--,,,x,x,x,,,,,,,,,,,x,x,,,x,,x,,x,x,x,,,
Alpha Edison,https://www.alphaedison.com,VC,,USA,No,10+,,,,x,x,x,,,,,x,,,,,,x,,,,,x,,,,,,,
Alpha Intelligence Capital,https://aicapital.ai/,VC,,Luxembourg,No,5+,--,--,,,x,x,,,x,x,x,x,x,x,,,x,,,,,,,,,,,"https://www.linkedin.com/in/antoineblondeau, https://www.linkedin.com/in/andrewhuen","https://www.linkedin.com/in/antoineblondeau, https://www.linkedin.com/in/andrewhuen"
Altair Capital,https://altair.vc/,VC,,Israel,No,,--,--,x,x,x,,,,x,x,x,x,x,x,,,x,,x,,,x,,,x,x,,"https://www.linkedin.com/in/dmfirs, https://www.linkedin.com/in/iryabenkiy, https://www.linkedin.com/in/mike-zakharov-6a5b9098","https://www.linkedin.com/in/dmfirs/, https://www.linkedin.com/in/iryabenkiy, https://www.linkedin.com/in/mike-zakharov-6a5b9098/"
Altamira,altamira.pl,VC,,Poland,No,,€10M,"Mar , 2020",,,x,,$500K,$5M,Poland,,,,,,,,x,,,,x,x,x,,,,Chemistry,,
Alter Equity,https://www.alter-equity.com/,VC,,France,No,,€70M,"Jul, 1905",,,x,x,€1M,€10M,x,,,,,,,,x,,,x,,,,x,x,x,Impact Investing,"https://www.linkedin.com/in/axel-voyer, https://www.linkedin.com/in/bouta%C3%AFna-benhayoun-681b11107, https://www.linkedin.com/in/camillerichard0, https://www.linkedin.com/in/clara-lesage, https://www.linkedin.com/in/el%C3%A9onore-rivelois-7b21a813b, https://www.linkedin.com/in/fanny-picard-6507a35, https://www.linkedin.com/in/felixmounier, https://www.linkedin.com/in/floriane-chambon, https://www.linkedin.com/in/georgina-pillement-13659626, https://www.linkedin.com/in/gilles-geoffroy-b5a491, https://www.linkedin.com/in/jan-claudio-mu%C3%B1oz-6607275b, https://www.linkedin.com/in/marianne-simeoni-9a76201, https://www.linkedin.com/in/marion-chan%C3%A9ac-a1138918, https://www.linkedin.com/in/virginia-de-guillebon-134717","https://www.linkedin.com/in/axel-voyer/, https://www.linkedin.com/in/bouta%C3%AFna-benhayoun-681b11107/, https://www.linkedin.com/in/camillerichard0/, https://www.linkedin.com/in/clara-lesage/, https://www.linkedin.com/in/el%C3%A9onore-rivelois-7b21a813b/"
Altitude Ventures,http://altvc.com/,VC,,USA,No,5+,,,,,x,x,,,,,x,,,,,,x,,,,,x,,,,,,,
Alven,https://www.alven.co/,VC,,France,No,,$261M,"Jan , 2017",,x,x,x,,,x,,,,,,,,x,,,,,,,,,x,"Marketplaces, Consumer models","https://www.linkedin.com/in/aude-steinberg-00932061, https://www.linkedin.com/in/charles-letourneur-347bb233, https://www.linkedin.com/in/cheima-cherif, https://www.linkedin.com/in/francoismeteyer, https://www.linkedin.com/in/guillaume-aubin-910a51a5, https://www.linkedin.com/in/l%C3%A9o-paul-lajoinie-14b777138, https://www.linkedin.com/in/maria-tahri-6b530873, https://www.linkedin.com/in/pauline-ancona-a2b243156, https://www.linkedin.com/in/rodolphemenegaux, https://www.linkedin.com/in/stella-walter-27269553, https://www.linkedin.com/in/victor-charpentier-vc, https://www.linkedin.com/in/yves-de-rocquigny-35b6672b","https://www.linkedin.com/in/aude-steinberg-00932061/, https://www.linkedin.com/in/charles-letourneur-347bb233/, https://www.linkedin.com/in/cheima-cherif/, https://www.linkedin.com/in/francoismeteyer/, https://www.linkedin.com/in/guillaume-aubin-910a51a5/"
AM Ventures,https://www.amventures.com/about/,VC,,"Germany, Korea",Yes,10+,€100M,"Jul, 2022",,x,x,x,€500K,€3M,x,x,x,x,x,x,,,,,x,,,,,,,,3D Printing,https://www.linkedin.com/in/alexanderschmoeckel,https://www.linkedin.com/in/alexanderschmoeckel
Amadeus Capital,https://www.amadeuscapital.com/,VC,,UK,No,,£110M,"Apr , 2021",,x,x,x,€1M,€5M,x,,,,,,,,x,,x,x,,x,x,,x,x,"IT, Marketplace, SaaS, Consumer",,
AMAVI Capital,https://amavi.capital/,VC,,Belgium,No,"Dec , 1899",€30M,"May , 2021",,,,,,,x,,,,,,,,,,x,,,,,,,,Proptech,,
AMAVI Capital,https://www.amavi.capital,VC,,Belgium,No,,€70M,2022,,X,X,,€500K,€5M,X,,,,,,,,,,X,X,X,,,,X,,,,
Amazon Industrial Innovation Fund,https://www.industrialinnovationfund.com,CVC,Amazon,USA,No,"Jan , 1900",$1B,"Apr , 2022",x,x,x,x,,,x,x,x,x,x,x,,,x,x,x,,x,,,,,,,,
AME Cloud Ventures,https://www.amecloudventures.com/,VC,,USA,No,,$55M,"Apr , 2019",x,x,x,x,,,x,x,x,x,x,x,,,x,,,,,,,,,,Data,"https://www.linkedin.com/in/jeff-chung-756b591b, https://www.linkedin.com/in/nickadams2020",
America's Frontier Fund (AFF),https://americasfrontier.org/,VC,,USA,Yes,--,$100M,"Nov , 2022",x,x,x,x,,,,,x,,,,,x,x,x,x,x,x,x,x,,,,,,
Amiti Capital,https://www.amiti.vc,VC,,Israel,No,10+,€96.4M,Jul. 2020,,x,x,x,,,,x,,,,,,,x,x,x,,,x,,,,x,,,
Amplify Partners,https://amplifypartners.com,VC,,USA,No,2,$30.7M,"Jan , 2022",,x,x,x,,,,,x,,,,,,x,,x,,,,x,,,,,https://www.linkedin.com/in/dauber,https://www.linkedin.com/in/dauber
Amplitude Ventures,https://amplitudevc.com/en,VC,,Canada,No,--,CA$150M,"Jun , 2020",,,x,x,CA$5M,CA$10M,,,,x,,,,,,,,,,x,x,,,,,,
Analytics Ventures,https://www.analyticsventures.com/,VC,,USA,Yes,5+,--,--,,x,,,,,,,x,,,,,,x,,,x,,x,,,,,,,
Ananda Impact Ventures,https://ananda.vc/,VC,,Germany,No,,€50M,"Oct , 2018",,x,x,x,,,x,,,,,,,,x,,x,,,x,,x,,,,"https://www.linkedin.com/in/zoepeden, https://www.linkedin.com/in/johannesweber0, https://www.linkedin.com/in/florianerber","https://www.linkedin.com/in/zoepeden, https://www.linkedin.com/in/johannesweber0, https://www.linkedin.com/in/florianerber"
Andera Partners,https://www.anderapartners.com/,VC,,France,No,10+,€456M,"Oct , 2022",,,x,x,€5M,€35M,x,,x,,,,,,,,,,,x,x,x,,,Life science,,
Andreessen Horowitz,https://a16z.com/,VC,,USA,No,,$9B,"Jan , 2022",,x,x,x,,,x,x,x,x,x,x,,,x,,,,,x,x,,,x,"Social media, SaaS",https://www.linkedin.com/in/behorowitz,https://www.linkedin.com/in/behorowitz
Angelico Ventures,https://www.angelicoventures.com/,VC,,UK,No,"Jan , 1900",,,,x,x,x,,,x,,x,x,x,x,,,,,x,,,x,x,,,,Alternative care,,
Angelini Ventures,https://www.angeliniventures.com/,CVC,Angelini Industries,Italy,No,1-5,€300M,"Dec , 2022",x,x,x,,,,x,x,x,,,,,,,,,,,x,x,,,,"Healthcare, digital health and biotech",,
Angels Santé,https://www.angelssante.fr,VC,,France,No,40+,,,,x,x,,,,x,,,,India,,,,x,,,,,x,x,,,,,,
Angular Ventures,https://www.angularventures.com/,VC,,Israel,Yes,10+,$80M,"Oct , 2021",,x,x,,$250K,$1.5M,x,x,,,,,,,,,,,,,,,,,,"https://www.linkedin.com/in/alexrosemblat, https://www.linkedin.com/in/baruchin, https://www.linkedin.com/in/davidlpeterson3, https://www.linkedin.com/in/davisscottt, https://www.linkedin.com/in/eldadfarkash, https://www.linkedin.com/in/gildibner, https://www.linkedin.com/in/hazelmulhare, https://www.linkedin.com/in/jdischler, https://www.linkedin.com/in/jennifer-schear-66a0a04, https://www.linkedin.com/in/leelach-avidov-04951296, https://www.linkedin.com/in/naksec, https://www.linkedin.com/in/parmuppal, https://www.linkedin.com/in/pwickham, https://www.linkedin.com/in/ronyachini, https://www.linkedin.com/in/shahar-azulay-54156bb4, https://www.linkedin.com/in/tal-shapira, https://www.linkedin.com/in/yechezkel-rabinovich-946794b4","https://www.linkedin.com/in/alexrosemblat, https://www.linkedin.com/in/baruchin, https://www.linkedin.com/in/davidlpeterson3, https://www.linkedin.com/in/davisscottt, https://www.linkedin.com/in/eldadfarkash"
Animo Ventures,https://animo.vc/#home,VC,,USA,No,5+,,,x,x,x,,$500K,$4M,,,x,,,,,,x,,,,,,,,,,,,
Ankur Capital,https://www.ankurcapital.com/,VC,,India,No,6+,$150M,"Sept, 2024",x,x,,,$1m,$2m,x,x,x,x,India,x,,,x,x,x,x,,x,x,x,x,,"Digital, healthtech & decarbonization","https://www.linkedin.com/in/burzin-dubash-6629aa1, https://www.linkedin.com/in/debanshsahoo, https://www.linkedin.com/in/kamakshi-rao-33205126b, https://www.linkedin.com/in/krishnan-neelakantan-a429258, https://www.linkedin.com/in/mohnish-jain1, https://www.linkedin.com/in/navelijain, https://www.linkedin.com/in/preetha-rony-2905316b, https://www.linkedin.com/in/ritu-verma-3906261, https://www.linkedin.com/in/shankershiva, https://www.linkedin.com/in/siddhi-khabia-b93818217, https://www.linkedin.com/in/srema, https://www.linkedin.com/in/surajnair0803, https://www.linkedin.com/in/vishal-aman-68979a26, https://www.linkedin.com/in/vishal-katariya-236695a0, https://www.linkedin.com/in/yagna-sreeramaneni-b28763193","https://www.linkedin.com/in/burzin-dubash-6629aa1/, https://www.linkedin.com/in/debanshsahoo/, https://www.linkedin.com/in/kamakshi-rao-33205126b/, https://www.linkedin.com/in/krishnan-neelakantan-a429258/, https://www.linkedin.com/in/mohnish-jain1/"
Anorak Ventures,http://www.anorak.vc/,VC,,USA,No,10+,$13.3M,"Feb , 2017",,x,x,,,,x,,x,x,,,,,x,,x,,,,,,,,"AR/VR, AI/ML, Robotics, IoT",,
ANRI,https://anri.vc/,VC,,Japan,No,,$102M,"Jul, 2022",,x,x,,,,,,,,Japan,,,x,x,x,x,,,x,x,,,x,"Consumer, Enterprise","https://www.linkedin.com/in/kazuhiro-sakakibara-phd, https://www.linkedin.com/in/kika-ko-42ba2839\, https://www.linkedin.com/in/shunsuke-nakaji-315733122, https://www.linkedin.com/in/taro-maruyama-7b4182161, https://www.linkedin.com/in/yusukemiyazaki",
Anterra Capital,http://www.anterracapital.com/#about,VC,,Netherlands,Yes,10+,$260M,"May , 2022",,x,x,x,€2M,€12M,x,x,x,x,x,x,,,,,,,,,x,x,,,,"https://www.linkedin.com/in/maarten-goossens-407952a, https://www.linkedin.com/in/adamanders, https://www.linkedin.com/in/brett-chevalier-8aa7236, https://www.linkedin.com/in/brett-wong-41279225, https://www.linkedin.com/in/michael-topalian-b5137aa0, https://www.linkedin.com/in/neira-pekmez-9a98a118b, https://www.linkedin.com/in/philip-austin-9005b917, https://www.linkedin.com/in/sandipandasgupta, https://www.linkedin.com/in/sanjay-birjmohan-36a84613b","https://linkedin.com/in/maarten-goossens-407952a, https://www.linkedin.com/in/adamanders/, https://www.linkedin.com/in/brett-chevalier-8aa7236/, https://www.linkedin.com/in/brett-wong-41279225/, https://www.linkedin.com/in/michael-topalian-b5137aa0/"
Anthem Venture Partners,http://anthemvp.com/,VC,,USA,No,,--,--,,,x,x,,,,,x,,,,,,x,x,x,,,,x,,,,"Internet, Mobile, SaaS",,
Antler,https://www.antler.co/,VC,,Denmark,No,,$72M,"Aug , 2024",x,x,x,,,,,,,,South East Asia,,,x,x,x,x,x,x,x,x,x,x,x,"sustainability, climate-tech and green transformation","https://www.linkedin.com/in/aaronkharris, https://www.linkedin.com/in/adam-french-2192034a, https://www.linkedin.com/in/adrian-dalton-3a401b27, https://www.linkedin.com/in/agung-bezharie-hadinegoro-19b47356, https://www.linkedin.com/in/alan-poensgen-39906b12, https://www.linkedin.com/in/amy-z-126071110, https://www.linkedin.com/in/andrea-hajdu-howe-fca-5a2b4115, https://www.linkedin.com/in/anilatma, https://www.linkedin.com/in/annabelhodges, https://www.linkedin.com/in/anthony-millet-9327713, https://www.linkedin.com/in/antti-tormanen-b8a0422, https://www.linkedin.com/in/bede-moore-b73a473a, https://www.linkedin.com/in/brosin, https://www.linkedin.com/in/carolstrobel, https://www.linkedin.com/in/charles-hayley-bell-32aa2a11, https://www.linkedin.com/in/christoph-klink-a0ab44b5, https://www.linkedin.com/in/courtney-christianson-01b1434, https://www.linkedin.com/in/danielfisherjournalist, https://www.linkedin.com/in/david-fischer-7667621, https://www.linkedin.com/in/deepak-jayaraman-nylon, https://www.linkedin.com/in/desmondpoon, https://www.linkedin.com/in/dilanmizrakli, https://www.linkedin.com/in/dragana-trbojevic-19881214, https://www.linkedin.com/in/edward-knight-179299175, https://www.linkedin.com/in/fabian-rother-494655116, https://www.linkedin.com/in/fady-abdel-nour-cfa-6345993, https://www.linkedin.com/in/frank-kang, https://www.linkedin.com/in/fridtjof-berge-15058625, https://www.linkedin.com/in/gabrielsaeunjung, https://www.linkedin.com/in/graeme-mather-3b16aa1, https://www.linkedin.com/in/hannahleach, https://www.linkedin.com/in/ibreakshit, https://www.linkedin.com/in/jaehee-chang, https://www.linkedin.com/in/jamesmcclure, https://www.linkedin.com/in/jedrose, https://www.linkedin.com/in/jeffreylbecker, https://www.linkedin.com/in/joiechan, https://www.linkedin.com/in/jonssonej, https://www.linkedin.com/in/jsalovaara, https://www.linkedin.com/in/jussi-kallasvuo-9748953, https://www.linkedin.com/in/kcagerup, https://www.linkedin.com/in/khoowinnie, https://www.linkedin.com/in/kristian-jul-rosjo, https://www.linkedin.com/in/lavanyaindralingam, https://www.linkedin.com/in/libernie, https://www.linkedin.com/in/liviamoore, https://www.linkedin.com/in/lolamasha, https://www.linkedin.com/in/magnusgrimeland, https://www.linkedin.com/in/marcelo-ciampolini-76871b3, https://www.linkedin.com/in/marie-nielsen-1716652, https://www.linkedin.com/in/martell-hardenberg, https://www.linkedin.com/in/mathias-owing-maanum-6124637a, https://www.linkedin.com/in/mbruderer, https://www.linkedin.com/in/melalite, https://www.linkedin.com/in/michael-kron-3b10027, https://www.linkedin.com/in/michaelwiatr, https://www.linkedin.com/in/naman-budhdeo-9444223, https://www.linkedin.com/in/nitinsharma15, https://www.linkedin.com/in/oscar-sehlberg-westergard, https://www.linkedin.com/in/peter-harrison-979701190, https://www.linkedin.com/in/peter-schmidt-838a07117, https://www.linkedin.com/in/prernash, https://www.linkedin.com/in/rafael-mastrocola-a7bb3a16, https://www.linkedin.com/in/rajivsrivatsa, https://www.linkedin.com/in/rike-d%C3%B6pp, https://www.linkedin.com/in/romainassuncao, https://www.linkedin.com/in/ronaldjanschuurs, https://www.linkedin.com/in/rosalind-bazany-a225275, https://www.linkedin.com/in/roslynjin, https://www.linkedin.com/in/ryan-sommerville-9a2aa983, https://www.linkedin.com/in/ryan-sommerville, https://www.linkedin.com/in/sandeepcasi, https://www.linkedin.com/in/sarah-kimmorley-3039a366, https://www.linkedin.com/in/shalaka-uchil-8b8745130, https://www.linkedin.com/in/sheila-patel-71971227, https://www.linkedin.com/in/sorsar, https://www.linkedin.com/in/sunil-rajan-caia-06236889, https://www.linkedin.com/in/tchoeiseth, https://www.linkedin.com/in/tobiasbengtsdahl, https://www.linkedin.com/in/todd-ruppert-61372a7, https://www.linkedin.com/in/tore-myrholt-b11bb418, https://www.linkedin.com/in/vegardmedbo, https://www.linkedin.com/in/wrobbo","https://www.linkedin.com/in/aaronkharris/, https://www.linkedin.com/in/adam-french-2192034a/?originalSubdomain=uk, https://www.linkedin.com/in/adrian-dalton-3a401b27/, https://www.linkedin.com/in/agung-bezharie-hadinegoro-19b47356/, https://www.linkedin.com/in/alan-poensgen-39906b12/"
Anzu Partners,https://anzupartners.com/,VC,,USA,Yes,20+,$200M,"Sept, 2023",,x,x,x,,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,,,
AP Ventures,https://apventures.com/,VC,,UK,No,,$500M,Jan 2025,,X,X,X,,,,,,,,X,,,,,,X,X,,,,,X,,,
Apax Partners,https://www.apax.com/,VC,,UK,No,,$10.5B,"Dec , 2019",,,,x,,,x,x,x,x,x,x,,,x,,x,,,x,,,,,"Tech & Telco, Services, Consumer",,
