Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
Iporanga Ventures,VC,Brazil,"Rua Horacio Lafer 160 cj 52, CEP 04538-080, São Paulo/SP, Brazil",💻 Software,$150k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Brazilian pre-seed/seed stage startups developing sound products/solutions backed by superior technology teams.,https://www.linkedin.com/company/iporanga-ventures,https://ipo.ventures/,
Blue Collective,VC,USA,"New York, United States","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware,🔬 Deep Tech,💊 Therapeutics",$100k to $2M,"2. Prototype,3. Early Revenue,4. Scaling",We invest in all sectors (generalist),https://www.linkedin.com/company/bluecollective,https://bluecollective.com/,
Venture Highway,VC,"India,USA","2 Nambardar Estates, Gurudwara Rd, Navjivan Buddh Vihar, Taimoor Nagar, New Friends Colony, New Delhi",💻 Software,$200k to $2.5M,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-product/early revenue Indian teams using technology in commerce, education, finance, human capital, marketing, and social",https://www.linkedin.com/company/venture-highway-llp/,https://www.venturehighway.vc/,
Matchstick Ventures,VC,USA,"Boulder CO 80302, United States","💻 Software,🔬 Deep Tech",$250k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in software startups in the ""seed phase"" that have a connection to the Rockies (CO, UT, MT, AZ, WY, ID, NM) or North (MN, WI, MI, IA, IL, IN, OH) regions of the US.",https://www.linkedin.com/company/matchstick-ventures/,https://www.matchstickventures.com/,
Connect Ventures,VC,"Belgium,Croatia,France,Germany,Spain,Denmark,Albania,Greece,Sweden,Netherlands,Latvia","4th Floor, 89 Great Eastern Street, London, EC2A 3HX",💻 Software,$1M to $2.75M,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in opinionated products, crafted with love and loved by many",https://www.linkedin.com/company/connect-ventures,https://www.connectventures.co/,
Sea Fund,VC,"India,USA","Ebony 1203A, Godrej Woodsman Estate, Hebbal, Bangalore-560024, India","💻 Software,🔬 Deep Tech,⚙️ Enterprise hardware,💊 Therapeutics,🌡 Medical hardware",$50k to $200k,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in early-stage companies, preferably with some semblance of a product-market fit at the intersection of network effects, technology, and innovative business models by leveraging platforms, protocols, and the power of modularity.   Our mission is, to help the next set of technical founders, with small amounts of early capital in getting to market to build efficient and scalable businesses. We value an India for India play, which can then subsequently be scaled to, first, similar markets and subsequently globally.",https://www.linkedin.com/company/seafund/,https://www.seafund.in/,
Kindred Capital,VC,"UK,Poland,Germany","First Floor, 44-46 Sekforde Street, London, London EC1R0HA, GB","🔬 Deep Tech,💻 Software",$1M to $1.5M,3. Early Revenue,We invest in equitable ventures. Kindred aligns ambitions and achievements with the portfolio. In structure and in spirit. Every single founder that the company backs will become a co-owner of the fund.,https://www.linkedin.com/company/kindred-capital-vc,https://www.kindredcapital.vc/,
SpeedUp Venture Capital Group,VC,"Poland,Slovakia,Lithuania,Latvia,Estonia,Romania,Hungary,Czech Republic","ulica Święty Marcin, 11/8, Poznań, Woj. Wielkopolskie 61-803, PL","🔬 Deep Tech,💻 Software",$250k to $1M,"2. Prototype,3. Early Revenue","We invest in CEE-based companies tackling energy market problems (grid, IoT, storage, mobility) with our bigger fund, and r&d-backed pre-seed/seed companies from various sectors with our smaller fund.",https://www.linkedin.com/company/speedup-group/,https://speedupgroup.com/en/,
Lunar Ventures,VC,"Germany,Spain,Portugal,France,Belgium,UK,Romania,Czech Republic,Italy,Sweden","Danziger Straße, Berlin, Berlin 10405, DE","🔬 Deep Tech,💻 Software",$100k to $500k,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early seed European startups building on the overlaps of software and deep tech,https://www.linkedin.com/company/lunar-ventures,https://lunarventures.eu/,
The Westly Group,Other,"USA,Canada,Belgium,Finland,Sweden,France,Germany","Menlo Park, California, United States","💻 Software,🔬 Deep Tech",$3M to $7M,"3. Early Revenue,4. Scaling","We invest in companies building technology in Energy, Transportation, Buildings, & Industry 4.0.",https://www.linkedin.com/company/the-westly-group,https://www.westlygroup.com/,
Alter Equity,VC,France,"23 Rue Danielle Casanova, 75001 Paris","🔬 Deep Tech,💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware",$1M to $30M,"3. Early Revenue,4. Scaling","We invest in companies whose activity contributes to resolving environmental challenges (energy efficiency and transition, circular economy, recycling, air, water and soil quality, green chemistry, organic products, biodiversity, etc.) or social challenges (education, training, employability, culture, services to vulnerable people, health, well-being, organic products, fair-trade, etc.) and commit to an ESG business plan which is an action plan to promote more responsible social, environmental and governance practices.  We invest in companies having realised at least €800k revenue over the last 12 months.  We take a Minority or majority stakes, from €1m to €30m.",https://www.linkedin.com/company/alter-equity/,https://www.alter-equity.com/,
Amplitude Ventures,VC,Canada,"Espace CDPQ 3, Place Ville-Marie Suite 12350 Montreal, QC H3B 0E7","💊 Therapeutics,🌡 Medical hardware",$1M to $10M,"2. Prototype,4. Scaling,5. Growth,6. Pre-IPO",We invest in precision medicine companies that are leveraging data and new scientific insights to give the right treatment to the right patient at the right time. Primarily focused on investing in Canada but open to later-stage opportunities elsewhere.,https://www.linkedin.com/company/amplitude-ventures,https://amplitudevc.com/en,
True Growth Capital,Angel network,"Germany,UK,Austria,Switzerland,Netherlands,Spain,Belgium,Luxembourg,France,Portugal,Denmark,Sweden,Finland","Schönhauser Allee 53, 10437 Berlin",💻 Software,$50k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in digital platforms, d2c, network models, software, social media, a bit of Saas.   Our investment hypothesis centres around finding the best people working on commercially sound business models. This philosophy of not just singularly optimizing on growth metrics but considering long-term viability of the business while still achieving digital category leadership within a c. 5-8 year timeframe, is what we call “True Growth”.   Furthermore, we focus our investments on cases where it is evident that we can provide “smart money”. I.e. opportunities where the competencies of our group are strongly relevant to get the company on a true, sustained, commercial growth trajectory. We leverage key learnings from scaling our own ventures (everyone in our group is an operator!) to global importance while retaining sustainable unit economics in order to pick investments and support our portfolio founders.",https://www.linkedin.com/company/truegrowth,https://truegrowth.de/,
Lumen Ventures,VC,"Italy,Spain,Israel,France,Germany,UK","Via Francesco Denza, 20, Rome, Italy 00197, IT","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,💊 Therapeutics,🔬 Deep Tech,🌡 Medical hardware",$600k to $2M,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in seed startups. We are industry agnostic.,https://www.linkedin.com/company/lumenventures,https://lumen.ventures/,
Romulus Capital,VC,"UK,USA,India","101 Arch Street, Boston, MA 02110, US","🔬 Deep Tech,💻 Software,⚙️ Enterprise hardware",$100k to $10M,"3. Early Revenue,4. Scaling","We invest in Seed - Series B rounds, mainly as lead investors, for B2B companies within two categories:  Companies selling technology to solve real problems in large traditional industries (e.g., agriculture, construction, energy, retail, real estate).  Deep technology companies that have spun out of top-tier research groups (e.g., MIT, Harvard, Cambridge, Stanford, SRI, Draper).",https://www.linkedin.com/company/romulus-capital/,https://romuluscap.com/,
Femmes Business Angels,Angel network,France,23-25 rue Jean-Jacques Rousseau 75001 Paris,"💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🔬 Deep Tech",$50k to $200k,"2. Prototype,3. Early Revenue",We invest in innovative French companies often (but not always) founded by female led-teams.,https://www.linkedin.com/company/femmes-business-angels/,https://www.femmesbusinessangels.org,
Lemonade Stand,Family office,"Estonia,Latvia,Lithuania,Poland,Ukraine,Czech Republic,Croatia,Romania,Slovenia,Slovakia","Tallinn, Estonia",💻 Software,$50k to $300k,"2. Prototype,3. Early Revenue","We invest in Baltic and East European founders working on impactful B2B software solutions (also pre-product, pre-revenue stage).",https://www.linkedin.com/company/lemonade-stand-vc/,https://lemonadestand.ee,
M25,VC,USA,"116 W Hubbard St, Chicago, Illinois US",💻 Software,$250k to $500k,"2. Prototype,3. Early Revenue",We invest in US Midwest-based preseed and seed stages companies that are tech or tech-enabled.,https://www.linkedin.com/company/m25-vc/,https://m25vc.com/,
Healthy Ventures,VC,USA,"1 Letterman Drive Building C, Floor P, Suite 500, San Francisco, CA 94129, United States",💻 Software,$1M to $2M,3. Early Revenue,We invest in infrastructural solutions that enable technologies to scale healthcare. These are often enterprise- and developer-facing products.,https://www.linkedin.com/company/healthy-ventures/,https://www.healthy.vc/,
Up Partners,VC,"USA,Australia,Germany,South Africa","Santa Monica Airport, CA, USA","📱 Consumer hardware,⚙️ Enterprise hardware,💻 Software,🔬 Deep Tech",$500k to $5M,"3. Early Revenue,2. Prototype,4. Scaling",We invest in enabling multi-dimensional mobility. We invest in anything that helps the ecosystem of transportation develop.,https://www.linkedin.com/company/uppartners/,https://www.up.partners/,
Speciale Invest,VC,"India,USA","3rd Floor, Sobha Pearl 1, Commissariat Road, Ashok Nagar, Bengaluru, Karnataka 560025, Bangalore, Karnataka 560025, IN","💻 Software,⚙️ Enterprise hardware,🔬 Deep Tech",$100k to $500k,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Deep tech, B2B Software, and Industrial hardware-based startups at the pre-seed and seed stage.",https://www.linkedin.com/company/specialeinvest,https://www.specialeinvest.com/,
Khoob,VC,India,"3rd Floor Kushal House 39 Nehru Place, New Delhi, 110019, India","🔬 Deep Tech,💻 Software",$25k to $250k,"1. Idea or Patent,2. Prototype",We invest in interesting early stage Indian companies.,https://www.linkedin.com/company/khoob,http://khoob.group/,
Cardumen Capital,VC,Israel,"Núñez de Balboa, 120, 6-Dcha, 28006 Madrid, Madrid, Madrid 28010, ES","🔬 Deep Tech,💻 Software",$1M to $3M,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Israeli B2B deep tech Seed and Series A companies across various sectors including AI, Cybersecurity, and Big Data.",https://www.linkedin.com/company/cardumencapital/,https://www.cardumencapital.com/,
Covalent Ventures,VC,New Zealand,"Auckland, New Zealand","🌡 Medical hardware,📱 Consumer hardware,💊 Therapeutics",$500k to $3.5M,"3. Early Revenue,4. Scaling,5. Growth",We invest in New Zealand companies with revenue.  Covalent Ventures is a Series A Health & Wellness venture fund actively working with companies to scale and play in major global markets. The team has over 50 combined years of sector experience in scaling high-growth companies and accessing green and brownfield markets generating growth of at least 17x.,https://www.linkedin.com/company/covalentventures/,http://www.covalent.ventures,
Raise Ventures,VC,"France,UK,Germany,Austria,Belgium,Denmark,Italy,Spain","138 bis, rue de Grenelle 75007 Paris, France",💻 Software,$500k to $7M,"3. Early Revenue,4. Scaling","We invest in growing innovative technological companies from Seed to Series B (lead or co-lead). We have an evergreen structure allowing us not to pressure entrepreneurs thanks to our ""patient equity"" logic.  We are generalists but opportunists. We invested in varied sectors and business models:(i) the B2C marketplace Bergamotte that digitalized the offer to deliver flowers, (ii) in the B2B fintech Mooncard that offers a solution for B2B expenses account or (iii) in the Saas solution Livestorm, the competitor of Zoom for visioconference and webinars.",https://www.linkedin.com/company/raise-france/,https://www.raise.co/,
Studio Sia Partners,VC,France,"21 Rue de Berri, Paris, Île-de-France 75008, FR","💻 Software,🔬 Deep Tech",$300k to $700k,"3. Early Revenue,4. Scaling","We invest in B2B tech startups with a strong ambition for French and international development, the capacity to address key accounts, and the ability to create synergies with consulting professions.",https://www.linkedin.com/company/sia-partners/,https://www.sia-partners.com/en/who-we-are/studio,
Wing Venture Capital,VC,"USA,Israel,Canada",480 Lytton Street Palo Alto CA 94301,"💻 Software,⚙️ Enterprise hardware,🔬 Deep Tech",$50k to $10M,"2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage and stealth B2B companies focused on powering the modern enterprise—a digitally-native workplace built on data and powered by AI—often before revenue.,https://www.linkedin.com/company/wing-venture-capital,https://www.wing.vc/,
TechOne Ventures,VC,Turkey,"Ortaköy Ave. Dereboyu St. N:78  Door N:4 Beşiktaş/ İstanbul, Turkey","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🔬 Deep Tech",$100k to $1M,"3. Early Revenue,4. Scaling,5. Growth","We invest in innovative tech startups founded by visionary entrepreneurs solving global problems, to deliver superior returns for our investors. We provide capital, network, strategic, financial and operational expertise and hands-on support help our founders strive. We don't have any specific focus on sectors.   We focus on being the best partner for founders. We are super active team-mates working side-by-side with you on your biggest or smallest challenges. We provide in-depth, strategic and customized services to enhance your performance and scale your startup. We are here to help across all your needs.",https://www.linkedin.com/company/techone-venture-capital,https://www.techone.vc/,
